Date,SetID,Tel,RefVal,RefErr,Filter
2014-01-01,0,1,0.776228458043,0.00441346316363,B
2014-01-01,0,1,0.713415225577,0.00367459622685,C
2014-01-01,0,1,0.753616879537,0.00233596670459,G
2014-01-01,0,1,0.687426412866,0.00339639384855,R
2014-01-01,0,2,0.842702383463,0.00541766869224,B
2014-01-01,0,2,0.749518999624,0.00962338263606,C
2014-01-01,0,2,0.816327463003,0.00685769760387,G
2014-01-01,0,2,0.741742284195,0.00168637007574,R
2014-01-01,0,3,0.708428654214,0.00473931427572,B
2014-01-01,0,3,0.651752635147,0.00393116665532,C
2014-01-01,0,3,0.694817508033,0.00526098484047,G
2014-01-01,0,3,0.628768043001,0.00208285691391,R
2014-01-01,0,4,0.708512542217,0.003944939397,B
2014-01-01,0,4,0.6593171246,0.00637852334132,C
2014-01-01,0,4,0.704251196168,0.00499855135571,G
2014-01-01,0,4,0.664940484484,0.00365167012919,R
2014-02-01,0,1,0.763009612729,0.00102073237683,B
2014-02-01,0,1,0.671765472243,0.0118359416816,C
2014-02-01,0,1,0.733603417399,0.00227108145123,G
2014-02-01,0,1,0.67586591925,0.00297160157049,R
2014-02-01,0,2,0.833898094165,0.00413973142525,B
2014-02-01,0,2,0.728761998773,0.0103691789969,C
2014-02-01,0,2,0.785996806869,0.00212522788194,G
2014-02-01,0,2,0.72241860128,0.00211338484741,R
2014-02-01,0,3,0.719614751988,0.00149168558136,B
2014-02-01,0,3,0.656276648333,0.00807818062204,C
2014-02-01,0,3,0.703979012205,0.00151596889568,G
2014-02-01,0,3,0.650162434898,0.00281597102213,R
2014-02-01,0,4,0.703603892081,0.00258704669818,B
2014-02-01,0,4,0.637251918396,0.00870601257403,C
2014-02-01,0,4,0.680286689845,0.00337812130101,G
2014-02-01,0,4,0.6210973335,0.00347747333517,R
2014-03-01,0,1,0.767862027586,0.00365576493353,B
2014-03-01,0,1,0.694549622047,0.00306342391007,C
2014-03-01,0,1,0.724853568195,0.00291175278404,G
2014-03-01,0,1,0.678691127461,0.000886708093574,R
2014-03-01,1,1,0.749232053741,0.00236804896599,B
2014-03-01,1,1,0.678456604404,0.00468658927855,C
2014-03-01,1,1,0.734154839157,0.00564726234874,G
2014-03-01,1,1,0.672109493576,0.00338098615459,R
2014-03-01,0,2,0.827492510323,0.00181943303327,B
2014-03-01,0,2,0.743007410896,0.00451741046151,C
2014-03-01,0,2,0.772200531311,0.00335067004338,G
2014-03-01,0,2,0.712590177621,0.00324721143153,R
2014-03-01,1,2,0.836064406479,0.00340578270703,B
2014-03-01,1,2,0.721723105716,0.00896266068302,C
2014-03-01,1,2,0.791110397722,0.0066040037706,G
2014-03-01,1,2,0.726444687746,0.00465326532735,R
2014-03-01,0,3,0.725582847479,0.0044335293947,B
2014-03-01,0,3,0.659275609336,0.00647142331465,C
2014-03-01,0,3,0.696310941916,0.00196473473608,G
2014-03-01,0,3,0.632234696959,0.00228200896263,R
2014-03-01,1,3,0.703907355365,0.00522862841217,B
2014-03-01,1,3,0.625569836643,0.00964521040655,C
2014-03-01,1,3,0.675304354735,0.00634844339746,G
2014-03-01,1,3,0.612802808695,0.00399722794644,R
2014-03-01,0,4,0.716730097471,0.00467808755205,B
2014-03-01,0,4,0.668445883719,0.00814054220568,C
2014-03-01,0,4,0.691590270075,0.00316102082526,G
2014-03-01,0,4,0.642846302788,0.00530481284286,R
2014-03-01,1,4,0.712908971205,0.00433959444163,B
2014-03-01,1,4,0.645979799933,0.00904276159786,C
2014-03-01,1,4,0.689580665115,0.00347376358571,G
2014-03-01,1,4,0.644721143895,0.00279553129899,R
2014-04-01,0,1,0.750585968667,0.00142716090929,B
2014-04-01,0,1,0.671377550186,0.0072316958414,C
2014-04-01,0,1,0.725409248215,0.00439626619488,G
2014-04-01,0,1,0.65855163318,0.0024528802072,R
2014-04-01,1,1,0.763848971568,0.0063209644704,B
2014-04-01,1,1,0.670573398259,0.0129097090503,C
2014-04-01,1,1,0.736674716328,0.00737060932507,G
2014-04-01,1,1,0.690715650795,0.00792608749659,R
2014-04-01,2,1,0.750161029659,0.00892480417198,B
2014-04-01,2,1,0.694206185782,0.00076836569288,C
2014-04-01,2,1,0.733609264476,0.00388638165426,G
2014-04-01,2,1,0.67345289256,0.0098770613439,R
2014-04-01,0,2,0.818464367123,0.00232939856602,B
2014-04-01,0,2,0.71151351936,0.0123459434647,C
2014-04-01,0,2,0.779766120956,0.00270838728046,G
2014-04-01,0,2,0.711387945453,0.00197086212182,R
2014-04-01,1,2,0.828021413731,0.00300109581347,B
